1	127	61
2	199	20
3	3	19
4	195	61
5	194	25
6	52	36
7	34	76
8	10	24
9	121	50
10	96	95
11	176	8
12	19	56
13	123	41
14	70	57
15	103	91
16	109	5
17	97	39
18	102	95
19	95	94
20	91	53
21	74	26
22	158	29
23	45	76
24	85	28
25	92	79
26	23	29
27	164	78
28	86	39
29	197	20
30	74	56
31	75	75
32	72	72
33	65	70
34	3	16
35	15	5
36	162	20
37	99	57
38	102	1
39	175	6
40	143	24
41	26	31
42	177	53
43	168	49
44	136	39
45	1	24
46	175	22
47	100	35
48	90	11
49	43	18
50	64	18
51	179	70
52	92	87
53	140	32
54	112	32
55	98	53
56	196	1
57	19	2
58	5	27
59	103	87
60	79	22
61	53	6
62	157	70
63	113	63
64	131	79
65	159	66
66	37	40
67	176	98
68	194	82
69	133	83
70	149	39
71	74	50
72	37	97
73	28	51
74	117	2
75	42	27
76	23	1
77	135	64
78	56	82
79	149	38
80	189	52
81	51	28
82	189	26
83	69	92
84	165	49
85	171	27
86	24	98
87	200	16
88	147	94
89	124	37
90	197	33
91	42	88
92	145	53
93	95	44
94	193	83
95	125	97
96	95	9
97	127	97
98	189	2
99	180	98
100	10	32
101	19	1
102	171	77
103	95	2
104	52	43
105	37	64
106	163	11
107	195	3
108	194	56
109	123	59
110	100	85
111	200	65
112	93	60
113	56	88
114	79	63
115	13	57
116	192	72
117	135	5
118	7	96
119	164	61
120	133	65
121	148	4
122	93	93
123	4	51
124	168	96
125	110	39
126	93	53
127	114	70
128	52	52
129	24	100
130	164	87
131	53	37
132	56	20
133	200	69
134	166	95
135	78	23
136	72	49
137	89	4
138	75	30
139	146	3
140	116	65
141	140	9
142	166	84
143	128	63
144	89	48
145	138	82
146	81	32
147	9	66
148	128	78
149	23	70
150	74	100
151	40	42
152	111	61
153	170	15
154	90	96
155	200	42
156	72	30
157	155	93
158	18	7
159	193	33
160	173	10
161	58	35
162	23	24
163	95	38
164	165	72
165	84	30
166	134	86
167	111	16
168	143	8
169	73	85
170	191	40
171	96	83
172	112	21
173	9	46
174	131	54
175	196	64
176	47	59
177	103	85
178	78	56
179	45	6
180	98	77
181	166	9
182	8	31
183	97	86
184	120	55
185	193	26
186	1	14
187	83	90
188	123	96
189	86	41
190	20	37
191	116	3
192	133	32
193	15	78
194	116	75
195	188	73
196	108	35
197	105	42
198	90	87
199	130	71
200	189	96
201	87	40
202	151	39
203	70	76
204	116	63
205	139	44
206	80	30
207	43	82
208	127	62
209	80	68
210	86	62
211	78	83
212	186	45
213	106	36
214	185	31
215	37	24
216	62	76
217	91	6
218	48	96
219	125	91
220	37	63
221	6	54
222	114	52
223	132	46
224	127	11
225	71	16
226	197	8
227	83	90
228	78	28
229	136	32
230	181	51
231	99	26
232	71	9
233	101	92
234	65	43
235	153	22
236	166	77
237	92	82
238	49	25
239	179	54
240	137	90
241	137	59
242	149	15
243	180	79
244	90	11
245	189	59
246	88	94
247	106	54
248	66	96
249	111	55
250	120	27
251	94	19
252	140	77
253	85	94
254	150	46
255	188	50
256	54	31
257	83	71
258	143	83
259	182	96
260	183	78
261	124	93
262	151	20
263	58	76
264	51	17
265	127	23
266	7	84
267	154	95
268	6	32
269	145	15
270	42	87
271	121	78
272	140	58
273	194	86
274	116	83
275	155	25
276	161	91
277	155	93
278	15	10
279	146	57
280	109	16
281	199	31
282	200	61
283	41	54
284	79	12
285	98	74
286	150	60
287	55	92
288	61	27
289	135	46
290	82	28
291	25	13
292	107	67
293	184	80
294	23	78
295	14	9
296	135	61
297	121	86
298	1	68
299	100	91
300	73	49
301	61	71
302	30	93
303	177	62
304	50	67
305	83	77
306	157	2
307	154	32
308	28	63
309	49	45
310	89	92
311	195	91
312	9	34
313	35	13
314	7	33
315	51	34
316	2	55
317	4	28
318	33	21
319	13	2
320	131	56
321	135	19
322	63	93
323	193	54
324	172	7
325	174	81
326	149	86
327	166	13
328	17	69
329	30	53
330	109	73
331	109	69
332	15	67
333	189	10
334	194	95
335	183	5
336	84	13
337	7	23
338	6	100
339	65	96
340	150	6
341	25	79
342	29	95
343	187	28
344	32	8
345	33	54
346	41	32
347	187	23
348	181	68
349	23	60
350	191	60
351	167	31
352	45	50
353	81	17
354	67	93
355	97	56
356	131	88
357	29	73
358	139	27
359	119	77
360	194	91
361	24	100
362	150	40
363	128	27
364	21	10
365	6	19
366	121	21
367	70	89
368	9	51
369	188	25
370	178	2
371	175	28
372	103	90
373	193	77
374	85	94
375	34	22
376	141	62
377	68	24
378	92	62
379	70	12
380	102	21
381	77	84
382	171	6
383	34	16
384	68	77
385	114	73
386	46	70
387	114	18
388	20	40
389	7	46
390	134	21
391	79	42
392	38	12
393	182	35
394	7	53
395	31	3
396	160	81
397	110	29
398	55	58
399	79	3
400	133	70
